; #
; # NRLEUV Quiet Sun Irradiances from 50-1200 A
; # File generated: Thu Jun 24 12:29:02 2004   by  Harry Warren, NRL
; #
; # Wavelengths are in angstroms.
; # Irradiances are in photons/cm^2/sec.
; #
; # Wavelength bins are centered, i.e., 50.5 corresponds
; # to wavelengths greater or equal to 50 A and less
; # than 51 A.
; # 
; # WAVELENGTH IRRADIANCE
 1200 lines  :  NRLEUV Version 2 Quiet Sun irradiance
    2 columns :  wavelength (Angstroms), irradiance (photons/cm^2/sec)
     871.5   1.108e+08
     872.5   1.118e+08
     873.5   1.139e+08
     874.5   1.156e+08
     875.5   1.232e+08
     876.5   1.204e+08
     877.5   1.223e+08
     878.5   1.250e+08
     879.5   1.269e+08
     880.5   1.294e+08
     881.5   1.318e+08
     882.5   1.347e+08
     883.5   1.368e+08
     884.5   1.416e+08
     885.5   1.431e+08
     886.5   1.448e+08
     887.5   1.480e+08
     888.5   1.503e+08
     889.5   1.531e+08
     890.5   1.618e+08
     891.5   1.590e+08
     892.5   1.622e+08
     893.5   1.653e+08
     894.5   1.683e+08
     895.5   2.007e+08
     896.5   1.746e+08
     897.5   1.783e+08
     898.5   1.829e+08
     899.5   1.847e+08
     900.5   1.947e+08
     901.5   1.924e+08
     902.5   2.015e+08
     903.5   9.131e+08
     904.5   1.638e+09
     905.5   2.067e+08
     906.5   2.337e+08
     907.5   2.146e+08
     908.5   2.188e+08
     909.5   2.228e+08
     910.5   2.384e+08
     911.5   2.319e+08
     912.5   2.132e+08
     913.5   2.056e+08
     914.5   7.617e+07
     915.5   1.132e+08
     916.5   2.064e+08
     917.5   5.391e+07
     918.5   5.584e+07
     919.5   6.029e+07
     920.5   6.194e+07
     921.5   1.116e+07
     922.5   8.871e+06
     923.5   1.067e+08
     924.5   1.064e+07
     925.5   2.563e+06
     926.5   7.941e+07
     927.5   2.660e+06
     928.5   2.792e+06
     929.5   2.803e+06
     930.5   1.002e+08
     931.5   2.868e+06
     932.5   3.130e+06
     933.5   1.096e+08
     934.5   3.116e+06
     935.5   3.085e+06
     936.5   3.146e+06
     937.5   1.706e+08
     938.5   3.265e+06
     939.5   3.486e+06
     940.5   3.386e+06
     941.5   3.484e+06
     942.5   3.513e+06
     943.5   3.579e+06
     944.5   1.273e+08
     945.5   3.713e+06
     946.5   3.785e+06
     947.5   3.870e+06
     948.5   3.934e+06
     949.5   3.019e+08
     950.5   1.212e+07
     951.5   4.208e+06
     952.5   4.228e+06
     953.5   4.328e+06
     954.5   4.387e+06
     955.5   5.842e+06
     956.5   4.552e+06
     957.5   5.349e+06
     958.5   4.805e+06
     959.5   4.877e+06
     960.5   4.926e+06
     961.5   5.014e+06
     962.5   6.177e+06
     963.5   5.181e+06
     964.5   5.278e+06
     965.5   5.425e+06
     966.5   5.510e+06
     967.5   6.397e+06
     968.5   5.819e+06
     969.5   5.939e+06
     970.5   5.902e+06
     971.5   6.200e+06
     972.5   5.671e+08
     973.5   1.219e+07
     974.5   6.352e+06
     975.5   6.469e+06
     976.5   6.606e+06
     977.5   7.219e+09
     978.5   7.328e+06
     979.5   1.170e+07
     980.5   7.314e+06
     981.5   7.230e+06
     982.5   7.550e+06
     983.5   7.759e+06
     984.5   7.650e+06
     985.5   7.783e+06
     986.5   7.986e+06
     987.5   8.078e+06
     988.5   8.942e+06
     989.5   1.226e+08
     990.5   8.538e+06
     991.5   2.405e+08
     992.5   9.554e+06
     993.5   1.407e+07
     994.5   2.555e+07
     995.5   9.362e+06
     996.5   2.946e+07
     997.5   3.696e+07
     998.5   9.896e+06
     999.5   2.091e+07
    1000.5   2.466e+07
    1001.5   1.051e+07
    1002.5   1.074e+07
    1003.5   1.086e+07
    1004.5   1.106e+07
    1005.5   1.788e+07
    1006.5   4.589e+07
    1007.5   1.168e+07
    1008.5   1.190e+07
    1009.5   4.275e+07
    1010.5   1.672e+08
    1011.5   1.258e+07
    1012.5   1.991e+07
    1013.5   1.305e+07
    1014.5   2.118e+07
    1015.5   3.449e+07
    1016.5   1.384e+07
    1017.5   1.408e+07
    1018.5   1.435e+07
    1019.5   1.871e+07
    1020.5   1.485e+07
    1021.5   4.944e+07
    1022.5   1.541e+07
    1023.5   1.579e+07
    1024.5   1.600e+07
    1025.5   2.640e+09
    1026.5   1.870e+07
    1027.5   1.774e+07
    1028.5   2.031e+07
    1029.5   1.753e+07
    1030.5   1.833e+07
    1031.5   2.570e+09
    1032.5   1.853e+07
    1033.5   1.889e+07
