 1240 lines : MEGS B CCD responsivity
 2 columns : Wavelength (nm),  Responsivity (electrons/photon) [no filter]
      103.750     0.638609
      103.850     0.638884
      103.950     0.639159
      104.050     0.639434
      104.150     0.639709
      104.250     0.639984
      104.350     0.640259
      104.450     0.640534
      104.550     0.640809
      104.650     0.641084
      104.750     0.641359
      104.850     0.641634
      104.950     0.641909
      105.050     0.642184
      105.150     0.642459
      105.250     0.642734
      105.350     0.643009
      105.450     0.643284
      105.550     0.643559
      105.650     0.643816
      105.750     0.644025
      105.850     0.644235
      105.950     0.644444
      106.050     0.644653
      106.150     0.644862
      106.250     0.645071
      106.350     0.645281
      106.450     0.645490
      106.550     0.645699
      106.650     0.645908
      106.750     0.646117
      106.850     0.646327
      106.950     0.646536
      107.050     0.646745
      107.150     0.646954
      107.250     0.647163
      107.350     0.647373
      107.450     0.647582
      107.550     0.647791
      107.650     0.648000
      107.750     0.648209
      107.850     0.648419
      107.950     0.648628
      108.050     0.648837
      108.150     0.649046
      108.250     0.649255
      108.350     0.649465
      108.450     0.649674
      108.550     0.649843
      108.650     0.649997
      108.750     0.650150
      108.850     0.650303
      108.950     0.650457
      109.050     0.650610
      109.150     0.650764
      109.250     0.650917
      109.350     0.651070
      109.450     0.651224
      109.550     0.651377
      109.650     0.651530
      109.750     0.651684
      109.850     0.651837
      109.950     0.651990
      110.050     0.652144
      110.150     0.652297
      110.250     0.652450
      110.350     0.652604
      110.450     0.652757
      110.550     0.652910
      110.650     0.653064
      110.750     0.653217
      110.850     0.653370
      110.950     0.653524
      111.050     0.653677
      111.150     0.653830
      111.250     0.653984
      111.350     0.654137
      111.450     0.654133
      111.550     0.653851
      111.650     0.653570
      111.750     0.653288
      111.850     0.653006
      111.950     0.652725
      112.050     0.652443
      112.150     0.652162
      112.250     0.651880
      112.350     0.651599
      112.450     0.651317
      112.550     0.651036
      112.650     0.650754
      112.750     0.650472
      112.850     0.650191
      112.950     0.649909
      113.050     0.649628
      113.150     0.649346
      113.250     0.649065
