 ;  
 ;	Ran mewe_spec.pro for Temperature of 0.5 MK and 1-20 MK on 1 MK steps
 ;		and wavelength range from 0-300 Angstroms on 0.1 Angstrom grid
 ;  Then took weighted averages over all temperatures appropriate for solar min. and solar max. 
 ;		with scaling to Woods & Rottman solar reference spectrum at 200 Angstroms
 ;
 ;	Tom Woods,  5/29/04
 ;
 3000 lines : Mewe solar spectra at 0.5 MK and 1-20 MK on 1 MK steps weighted for solar min & max
 3 columns : wavelength (Angstroms), solar min and max spectra in units of photons/cm^2/second
      68.4500      246010.      800313.
      68.5500      246212.      800548.
      68.6500      246424.      800814.
      68.7500      246625.      801049.
      68.8500      246819.      801254.
      68.9500      247021.      801492.
      69.0500      247224.      801728.
      69.1500  1.50216e+07  2.87345e+07
      69.2500      247640.      802235.
      69.3500      247833.      802442.
      69.4500      248037.      802682.
      69.5500      248240.      802920.
      69.6500  1.26076e+07  3.16841e+07
      69.7500      248657.      803431.
      69.8500  6.06441e+06  1.51339e+07
      69.9500  9.64382e+06  2.03659e+07
      70.0500  2.89463e+07  6.35671e+07
      70.1500      249474.      804395.
      70.2500      249677.      804636.
      70.3500      249873.      804848.
      70.4500      250078.      805092.
      70.5500      250282.      805335.
      70.6500  1.79421e+06  5.42811e+06
      70.7500      250702.      805854.
      70.8500      250897.      806068.
      70.9500      251103.      806312.
      71.0500      251308.      806558.
      71.1500      251523.      806833.
      71.2500      251729.      807081.
      71.3500      251926.      807298.
      71.4500      252132.      807545.
      71.5500      252338.      807791.
      71.6500      252554.      808070.
      71.7500      252761.      808319.
      71.8500      252958.      808537.
      71.9500      253164.      808786.
      72.0500  2.43565e+07  5.45891e+07
      72.1500      253588.      809316.
      72.2500      253795.      809568.
      72.3500  9.98579e+06  2.51734e+07
      72.4500      254200.      810039.
      72.5500      254408.      810290.
      72.6500  2.68016e+07  5.33893e+07
      72.7500      254833.      810826.
      72.8500      255031.      811048.
      72.9500      255240.      811302.
      73.0500      255447.      811555.
      73.1500      255665.      811839.
      73.2500      255873.      812094.
      73.3500      256072.      812319.
      73.4500  3.90718e+06  1.19364e+07
      73.5500  1.97613e+06  5.07570e+06
      73.6500      256708.      813117.
      73.7500      256917.      813373.
      73.8500      257117.      813598.
      73.9500      257327.      813857.
      74.0500      257535.      814114.
      74.1500      257755.      814403.
      74.2500      257964.      814661.
      74.3500      258164.      814889.
      74.4500      258374.      815149.
      74.5500  1.03316e+06  2.71768e+06
      74.6500      258804.      815699.
      74.7500      259014.      815960.
      74.8500  1.97192e+07  4.98655e+07
      74.9500      485587.  1.48818e+06
      75.0500  1.76608e+07  4.37326e+07
      75.1500      259856.      817005.
      75.2500      260067.      817268.
      75.3500      260268.      817499.
      75.4500      260478.      817761.
      75.5500      260690.      818026.
      75.6500      260911.      818320.
      75.7500  1.07264e+06  2.36814e+06
      75.8500  1.35145e+06  4.05536e+06
      75.9500      261534.      819082.
      76.0500  2.42346e+06  6.57930e+06
      76.1500      985635.  2.96789e+06
      76.2500      262180.      819910.
      76.3500      262381.      820145.
      76.4500      262593.      820412.
      76.5500      972219.  3.61712e+06
      76.6500      263028.      820977.
